天气 怎么样	n r	O O
上海 一直 下雨	ns d v	LOCATION O O
宝山 有 冰雹 天气	ns v n n	LOCATION O O O
江苏 又 大暴雨	ns d n	LOCATION O O
上海 今天 天气 怎样	ns t n r	LOCATION TIME O O
北京 未来 一 周 都 有 雨 吗	ns t m q d v n y	LOCATION TIME TIME TIME O O O O
上海 明天 高温	ns t n	LOCATION TIME O
重庆 明天 阴天 吗	ns t n y	LOCATION TIME O O
武汉 明天 有 雨 吗	ns t v n y	LOCATION TIME O O O
明天 是 晴天 吗	t v n y	TIME O O O
上海 今日 有 大风 吗	ns t v n y	LOCATION TIME O O O
浙江 明天 会 有 大雾 吗	ns t v v n y	LOCATION TIME O O O O
沈阳 最近 有 雨夹雪 吗	ns t v n y	LOCATION TIME O O O
今天 空气 适合 跑步 吗	t n v v y	TIME O O O O
适合 穿 短裤 吗	v v n y	O O O O
今天 适合 穿 什么	t v v r	TIME O O O
今天 能 洗 车 吗	t v v n y	TIME O O O O
明天 天气 适合 外出 打球	t n v v v	TIME O O O O
明天 天气 可以 去 故宫 旅游 吗	t n v v ns vn y	TIME O O O O O O
最近 天气 容易 导致 感冒 吗	t n a v v y	TIME O O O O O
天气 好 吗	n a y	O O O
成都 下雨 吗	ns v y	LOCATION O O
深圳 晴天	ns n	LOCATION O
静安区 高温	ns n	LOCATION O
河南 阴天	ns n	LOCATION O
福建 昨天 下 了 一 天雨	ns t v u m nr	LOCATION TIME O O O O
广州 这个 月 很 热	ns r n d k	LOCATION TIME TIME O O
天津 这 一 周 高温 吗	ns r m q n y	LOCATION TIME TIME TIME O O
香港 今天 阴天 吗	ns t n y	LOCATION TIME O O
武汉 今天 晴天 吗	ns t n y	LOCATION TIME O O
山东 今天 有 雨 吗	ns t v n y	LOCATION TIME O O O
西安 下雪 了 吗	ns v y y	LOCATION O O O
西城区 大雨 吗	ns n y	LOCATION O O
湖北 下雪 吗	ns n y	LOCATION O O
辽宁 这个 礼拜 冷 吗	ns r n a y	LOCATION TIME TIME O O
佛山 一整天 都 是 阴天	ns t d v n	LOCATION TIME O O O
墨尔本 今天 晴天 吗	nz t n y	LOCATION TIME O O
河北 最近 有点 冷	ns t d a	LOCATION TIME O O
珠海 昨天 是 阴天	ns t v n	LOCATION TIME O O
纽约 一直 下雨 吧	ns d v y	LOCATION O O O
伦敦 有 大雾 吗	ns v n y	LOCATION O O O
后天 的 天气	n u n	TIME O O
明天 天气	t n	TIME O
明天 下雨 吗	t v y	TIME O O
明天 下 不 下雨 啊	t f d v y	TIME O O O O
上海 下周 天气	ns t n	LOCATION TIME O
下雨 吗 明天	v y t	O O TIME
明天 天气 怎么样	t n r	TIME O O
明天 天气 还 好 吧	t n d a y	TIME O O O O
后天 天气	n n	TIME O
后天 下 不 下雨 呀	n f d v y	TIME O O O O
今天 下午 下雨 吗	t t v y	TIME TIME O O
明天 早上 下 不 下雨 啊	t t f d v y	TIME TIME O O O O
上海 今天 晚上 下雨 吗	ns t t v y	LOCATION TIME TIME O O
告诉 我 北京 下周 天气	v r ns t n	O O LOCATION TIME O
横店 明天 天气	ns t n	LOCATION TIME O
北京 天气预报	ns n	LOCATION O
江城 下周 天气	ns t n	LOCATION TIME O
济阳 五 天 天气预报	ns m q n	LOCATION TIME TIME O
泸州 未来 七 天 天气	ns t m q n	LOCATION TIME TIME TIME O
赤水 下 个 礼拜 的 天气 情况	ns f q n u n n	LOCATION TIME TIME TIME O O O
禹城 三 天 天气预报	nr m q n	LOCATION TIME TIME O
三天 天气预报	nz n	TIME O
未来 五 天 天气 情况	t m q n n	TIME TIME TIME O O
未来 七 天 天气预报	t m q n	TIME TIME TIME O
下周 天气预报	t n	TIME O
下 个 礼拜 的 天气预报	f q n u n	O O O O O
昌邑 下周 天气	ns t n	O TIME O
耿马 后面 3 天 天气	nr f m q n	LOCATION TIME TIME TIME O
三亚 接 下来 几 天 天气预报	ns v v m q n	LOCATION TIME TIME TIME TIME O
下周 珠海 天气	t ns n	TIME LOCATION O
湛江 明天 天气 怎么样	ns t n r	LOCATION TIME O O
